Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Cereals ready-to-eat, Raisin Bran Cereal, MALT-O-MEAL",342,38,65,16,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Turkey, raw, meat and skin, drumstick, retail parts",141,8,87,12,General nutrition,Children,Dinner,18.5,Underweight
"TACO BELL, Bean Burrito",209,4,68,11,General nutrition,Old age,Other,21.7,Normal weight
"Ice creams, Vanilla Chocolate Strawberry, No Sugar Added, BREYERS",143,7,70,11,General nutrition,All ages,Other,18.5,Underweight
"Shortening, soybean (hydrogenated) and palm (hydrogenated), multipurpose",884,41,35,21,General nutrition,Adults,Other,30.0,Obesity
"Cake, dry mix, marble, pudding-type",416,2,46,2,General nutrition,Old age,Other,27.45,Overweight
"POPEYES, skin and breading removed, meat only, Breast, Mild, Fried Chicken",157,30,98,9,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",264,28,64,13,General nutrition,Adults,Other,21.7,Normal weight
"Pork and turkey sausage, pre-cooked",342,9,99,19,General nutrition,Adults,Other,21.7,Normal weight
"Cheese product, vitamin D fortified, American, pasteurized process",312,13,66,5,General nutrition,Adults,Other,21.7,Normal weight
"Mollusks, raw, mixed species, scallop",69,31,20,23,General nutrition,Old age,Other,18.5,Underweight
"KFC, meat and skin with breading, Breast, EXTRA CRISPY, Fried Chicken",268,3,37,17,General nutrition,Old age,Dinner,21.7,Normal weight
"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",520,49,43,12,General nutrition,Adults,Snack,27.45,Overweight
"Beef, braised, cooked, separable lean and fat, flat, imported, New Zealand",252,41,70,10,General nutrition,Old age,Other,21.7,Normal weight
"Game meat, broiled, cooked, separable lean only, tenderloin, elk",162,34,72,5,General nutrition,Old age,Dinner,18.5,Underweight
"KFC, Coleslaw",144,48,91,6,General nutrition,All ages,Other,18.5,Underweight
"Formulated bar, SNICKERS MARATHON Chewy Chocolate Peanut Bar, MARS SNACKFOOD US",396,29,19,0,General nutrition,Adults,Snack,21.7,Normal weight
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",191,15,52,3,General nutrition,Adults,Dinner,18.5,Underweight
"Tomatillos, raw",32,29,3,6,General nutrition,Adults,Other,18.5,Underweight
Omo Tuo with Palm Nut Soup,430,22,65,20,High protein,rich in vitamins,Lunch,27.45,Overweight
"Seeds, partially defatted, sesame meal",567,44,12,19,"Heart health, Weight management, Brain function",All ages,Other,27.45,Overweight
"Chicken, raw, with added solution, meat only, thigh, dark meat",110,47,61,27,General nutrition,Adults,Dinner,18.5,Underweight
"Oil, tomatoseed",884,30,73,12,General nutrition,All ages,Other,30.0,Obesity
"Macaroni and cheese, frozen entree",149,30,60,23,General nutrition,Children,Other,18.5,Underweight
"Cereals ready-to-eat, KASHI Honey Sunshine",332,17,81,18,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"GARDENBURGER Veggie Medley Burger, unprepared, frozen",121,7,62,29,General nutrition,Old age,Breakfast,18.5,Underweight
"Lima beans, solids and liquids, regular pack, canned, immature seeds",71,18,15,26,General nutrition,Old age,Other,18.5,Underweight
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",216,0,39,29,General nutrition,Children,Other,21.7,Normal weight
"Vitasoy USA Organic Nasoya, Soft Tofu",70,14,58,29,General nutrition,Adults,Other,18.5,Underweight
"Beans, drained solids, regular pack, canned, green, snap",22,41,95,29,General nutrition,Adults,Other,18.5,Underweight
"Mayonnaise, low calorie or diet, low sodium",231,40,63,7,General nutrition,Old age,Other,21.7,Normal weight
"WENDY'S, with cheese, Double Stack",285,23,2,2,General nutrition,Children,Other,21.7,Normal weight
"Infant formula, 20 calories ready-to-feed, Premature, ENFAMIL, MEAD JOHNSON",66,23,26,2,General nutrition,Children,Other,18.5,Underweight
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, top blade, chuck",184,45,72,10,General nutrition,Old age,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, steak, flank",149,6,14,28,General nutrition,Children,Dinner,18.5,Underweight
"Beef, raw, separable lean and fat, flank, imported, New Zealand",161,21,18,20,General nutrition,All ages,Other,18.5,Underweight
"MURRAY, Iced Oatmeal Cookies, SOUTHERN KITCHEN",467,44,3,11,General nutrition,All ages,Breakfast,27.45,Overweight
"Lamb, roasted, cooked, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",246,42,92,24,General nutrition,All ages,Other,21.7,Normal weight
"Game meat, simmered, cooked, bear",259,42,21,14,General nutrition,Old age,Dinner,21.7,Normal weight
"Salad dressing, reduced fat, thousand island dressing",195,47,32,28,General nutrition,Adults,Lunch,18.5,Underweight
"Snacks, nacho cheese, made with olestra, low fat, tortilla chips",318,10,68,13,General nutrition,All ages,Snack,21.7,Normal weight
"Lamb, roasted, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, roast, rack, fresh, imported, Australian",175,0,75,28,General nutrition,Old age,Other,18.5,Underweight
"SILK Vanilla, soymilk",41,46,30,24,General nutrition,Children,Other,18.5,Underweight
"Babyfood, dry fortified, barley, cereal",376,49,37,10,General nutrition,All ages,Breakfast,21.7,Normal weight
"Babyfood, strained, banana no tapioca",91,1,53,0,General nutrition,All ages,Other,18.5,Underweight
"MARTHA WHITE FOODS, dry, Martha White's Chewy Fudge Brownie Mix",407,43,44,11,General nutrition,Children,Other,27.45,Overweight
"Restaurant, cheese tamales, Mexican",216,39,35,19,General nutrition,Old age,Other,21.7,Normal weight
"Pepperoni, sliced, beef and pork",504,37,80,9,General nutrition,All ages,Other,27.45,Overweight
"KFC, Skin and Breading, EXTRA CRISPY, Fried Chicken",464,6,80,15,General nutrition,Children,Dinner,27.45,Overweight
"Tempeh, cooked",195,33,71,9,General nutrition,Adults,Other,18.5,Underweight
"SUNSHINE, Cheez-It Mixx and Cheesy Pizza Crackers, GRIPZ",484,39,33,2,General nutrition,Children,Other,27.45,Overweight
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",224,45,99,27,General nutrition,Children,Other,21.7,Normal weight
"Fast Foods, skin and breading removed, meat only, Wing, Fried Chicken",215,35,94,0,General nutrition,Old age,Dinner,21.7,Normal weight
"Potatoes, oven-heated, frozen, salt added in processing, crinkle or regular cut, french fried",166,27,24,8,General nutrition,All ages,Other,18.5,Underweight
"MORNINGSTAR FARMS Corn Dog, unprepared, frozen",208,3,76,16,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",187,15,2,12,General nutrition,All ages,Dinner,18.5,Underweight
"Chicken, original seasoning, rotisserie, cooked, skin only, broilers or fryers",406,16,36,23,General nutrition,All ages,Dinner,27.45,Overweight
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",206,21,55,23,General nutrition,Old age,Dinner,21.7,Normal weight
"Macaroni and Cheese, microwavable, canned",134,23,27,11,General nutrition,Children,Other,18.5,Underweight
"Beans, without salt, drained, boiled, cooked, frozen, immature seeds, pinto",162,37,13,22,General nutrition,Children,Other,18.5,Underweight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",124,47,99,21,General nutrition,Adults,Dinner,18.5,Underweight
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin chops, leg, fresh, imported, Australian",235,38,35,3,General nutrition,Old age,Other,21.7,Normal weight
"APPLEBEE'S, from kid's menu, Macaroni & Cheese, KRAFT",143,22,93,5,General nutrition,Adults,Other,18.5,Underweight
"KEEBLER, bite-size, Rainbow Chocolate Chip Cookies, CHIPS DELUXE, GRIPZ",470,32,88,5,General nutrition,All ages,Snack,27.45,Overweight
"KEEBLER, Cheese, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",476,37,7,12,General nutrition,Children,Other,27.45,Overweight
"Noodles, enriched, dry, egg",384,45,10,29,General nutrition,Adults,Breakfast,21.7,Normal weight
"Babyfood, junior, banana and strawberry, fruit",109,28,2,14,General nutrition,Adults,Snack,18.5,Underweight
"Cereals ready-to-eat, KASHI GOLEAN Vanilla Graham Clusters",330,15,47,16,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",306,41,9,22,General nutrition,Old age,Other,21.7,Normal weight
"Mushrooms, dried, shiitake",296,27,40,1,General nutrition,All ages,Other,21.7,Normal weight
"School Lunch, cooked, frozen, whole grain, thick crust, sausage topping, pizza",257,4,70,28,General nutrition,Adults,Lunch,21.7,Normal weight
"Potatoes, home-prepared with margarine, scalloped",88,0,18,16,General nutrition,Children,Other,18.5,Underweight
"Fast foods, prepared with garlic and parmesan cheese, soft, breadstick",343,32,98,28,General nutrition,Children,Other,21.7,Normal weight
"Infant formula, with ARA and DHA, powder, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",511,42,91,12,General nutrition,Adults,Other,27.45,Overweight
"Puddings, prepared with whole milk, instant, dry mix, coconut cream",117,21,6,18,General nutrition,Old age,Other,18.5,Underweight
"KELLOGG'S, Blueberry, Waffles, EGGO",265,35,22,26,General nutrition,Old age,Breakfast,21.7,Normal weight
"Rolls, reduced-calorie, hamburger or hotdog",196,7,63,21,General nutrition,All ages,Lunch,18.5,Underweight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",142,4,68,2,General nutrition,All ages,Dinner,18.5,Underweight
"CAMPBELL'S CHUNKY Soups, Hearty Bean 'N' Ham Soup",74,19,33,21,General nutrition,Adults,Lunch,18.5,Underweight
Mpotompoto (Millet Porridge),250,4,45,6,Rich in vitamins,good for energy,Other,21.7,Normal weight
"Pork, raw, separable lean and fat, boneless, top loin (roasts), loin, fresh",166,28,64,12,General nutrition,Old age,Other,18.5,Underweight
"Beans, raw, in pod, fava",88,33,92,27,General nutrition,Old age,Other,18.5,Underweight
"Veal, raw, separable lean only, loin",114,29,47,15,General nutrition,Adults,Other,18.5,Underweight
"GEORGE WESTON BAKERIES, dry, Brownberry Sage and Onion Stuffing Mix",390,25,81,27,General nutrition,Adults,Other,21.7,Normal weight
"Lamb, raw, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",134,35,38,16,General nutrition,Old age,Other,18.5,Underweight
"MOTHER'S, Jungle Animal Cookies",514,16,30,3,General nutrition,Children,Other,27.45,Overweight
"Cereals, dry, Cinnamon Raisin Pecan, KELLOGG'S SPECIAL K NOURISH",370,9,14,28,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, arm, shoulder, domestic",244,40,13,15,General nutrition,Children,Other,21.7,Normal weight
"Cake, prepared from recipe, pineapple upside-down",319,42,16,19,General nutrition,Children,Other,21.7,Normal weight
"Pumpkin, with salt, canned",34,24,86,25,General nutrition,All ages,Other,18.5,Underweight
"Fast Food, thin crust, cheese topping, 14"" pizza, Pizza Chain",302,30,90,5,General nutrition,Old age,Other,21.7,Normal weight
"CAMPBELL'S CHUNKY Soups, Grilled Chicken with Vegetables & Pasta Soup",41,29,5,9,"Cancer prevention, Eye health, Bone strength",All ages,Lunch,18.5,Underweight
"Chicken, meat only, wing, BBQ, rotisserie, broiler",184,47,1,22,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast",195,48,46,24,General nutrition,Children,Other,18.5,Underweight
"SUPPER BAKES MEAL KITS, Creamy Stroganoff Sauce with pasta",147,31,87,6,General nutrition,All ages,Dinner,18.5,Underweight
"RUDI'S, Original Sandwich Bread, Gluten-Free Bakery",320,36,18,16,General nutrition,Adults,Lunch,21.7,Normal weight
"PAPA JOHN'S 14"" Pepperoni Pizza, Original Crust",275,40,78,22,General nutrition,Children,Other,21.7,Normal weight
"Broccoli raab, cooked",33,29,92,3,General nutrition,Old age,Other,18.5,Underweight
"Pork, roasted, heated, separable lean only, bone-in, rump, ham, cured",132,27,18,16,General nutrition,Old age,Other,18.5,Underweight
"Noodles, dry, soba, japanese",336,12,55,8,General nutrition,Adults,Other,21.7,Normal weight
"Fish, dry heat, cooked, mixed species, Pacific, rockfish",109,24,31,11,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Wheat, sprouted",198,47,23,11,General nutrition,Old age,Other,18.5,Underweight
"Beverages, powder, Lemonade",376,43,85,18,General nutrition,Adults,Other,21.7,Normal weight
"Lambsquarters, raw",43,10,87,0,General nutrition,Children,Other,18.5,Underweight
"Chicken, roasted, cooked, with added solution, meat and skin, thigh, dark meat",214,16,57,13,General nutrition,All ages,Dinner,21.7,Normal weight
"Pork, broiled, cooked, separable lean and fat, boneless, leg cap steak, loin",158,33,30,27,General nutrition,Children,Dinner,18.5,Underweight
"Veal, raw, separable lean and fat, rib",162,9,72,0,General nutrition,All ages,Other,18.5,Underweight
"Fish, dry heat, cooked, mixed species, Pacific and jack, mackerel",201,10,4,3,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"Salad dressing, milk cream, imitation, mayonnaise",97,38,81,22,General nutrition,Adults,Lunch,18.5,Underweight
"Puddings, fat free, ready-to-eat, tapioca",94,30,63,29,General nutrition,Adults,Other,18.5,Underweight
"Chicken breast tenders, microwaved, cooked, breaded",252,10,79,28,General nutrition,Old age,Dinner,21.7,Normal weight
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Chicken and Dumplings Soup",78,40,51,16,General nutrition,Children,Lunch,18.5,Underweight
"Snacks, very low sodium, corn cakes",387,38,20,23,General nutrition,All ages,Snack,21.7,Normal weight
"Beef, raw, 97% lean meat / 3% fat, ground",121,25,75,17,General nutrition,Children,Dinner,18.5,Underweight
"Fish, dry heat, cooked, northern, pike",113,7,87,15,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Bread, commercially prepared (includes soft bread crumbs), white",266,24,26,7,General nutrition,Adults,Other,21.7,Normal weight
"Candies, BUTTERFINGER Crisp, NESTLE",465,25,82,25,General nutrition,Children,Other,27.45,Overweight
"Fish, dry heat, cooked, Atlantic and Pacific, halibut",111,22,89,13,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",47,33,78,10,General nutrition,Adults,Lunch,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",228,7,21,25,General nutrition,Children,Dinner,21.7,Normal weight
"Toaster Pastries, frosted (include apples, blueberry, cherry, strawberry), fruit",385,20,91,19,General nutrition,Old age,Breakfast,21.7,Normal weight
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, loin, frozen, imported, New Zealand",296,27,83,25,General nutrition,Adults,Other,21.7,Normal weight
"WORTHINGTON Meatless Chicken Roll, unprepared, frozen",154,7,45,13,"Muscle building, Iron absorption, Zinc boost",Adults,Dinner,18.5,Underweight
"Okra, without salt, drained, boiled, cooked, frozen",29,13,21,28,General nutrition,Old age,Other,18.5,Underweight
"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",265,47,36,3,General nutrition,Adults,Other,21.7,Normal weight
"Squash, raw, spaghetti, winter",31,47,53,0,General nutrition,Old age,Other,18.5,Underweight
"Soup, Chinese restaurant, wonton",32,41,96,16,General nutrition,Children,Lunch,18.5,Underweight
"Pancakes, incomplete, dry mix, buckwheat",340,49,45,27,General nutrition,Children,Breakfast,21.7,Normal weight
"Infant formula, ready-to-feed, with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION",66,0,44,18,General nutrition,Children,Other,18.5,Underweight
"Cereals ready-to-eat, Organic FLAX PLUS flakes, NATURE'S PATH",350,2,47,10,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Ground turkey, pan-broiled crumbles, fat free",151,24,40,9,General nutrition,Children,Other,18.5,Underweight
