Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",291,20,30,5,"C, A, D",Breakfast,19.1,Normal weight,"Magnesium, Iron",General nutrition,All ages,Eating Disorders
"SMART SOUP, Vietnamese Carrot Lemongrass",44,16,82,1,"E, A, D",Snacks,24.5,Normal weight,Magnesium,General nutrition,Children,Celiac Disease
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, clod roast, chuck",172,22,45,0,"A, B, C, D",Snacks,23.6,Normal weight,"Iron, Magnesium",General nutrition,Adults,"Depression, Hemophilia"
"Pate, canned, not specified, liver",319,29,48,19,"E, A",Breakfast,25.6,Overweight,"Magnesium, Calcium, Iron",General nutrition,Adults,"Phenylketonuria, Malnutrition, Systemic Lupus Erythematosus"
Fante Fante with Eba,390,10,60,15,C,Others,23.3,Normal weight,Calcium,High in carbs,moderate protein,General
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",236,11,23,23,"C, A",Others,19.3,Normal weight,Zinc,General nutrition,Children,"Autism Spectrum Disorder, Macular Degeneration"
"Babyfood, junior, meat sticks, meat",184,15,43,3,"D, B, E, C",Snacks,22.9,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Adults,"Diverticulitis, Ornithine Transcarbamylase Deficiency, Ehlers-Danlos Syndrome"
"Pork, roasted, separable lean only, arm picnic, shoulder, cured",170,30,32,13,C,Snacks,23.1,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Children,Leukemia
"Winged beans, without salt, drained, boiled, cooked, immature seeds",38,4,63,20,B,Snacks,24.6,Normal weight,Iron,General nutrition,Children,Lymphoma
"Chorizo, pork and beef",455,47,66,24,A,Lunch,29.8,Overweight,"Calcium, Magnesium, Zinc",General nutrition,Old age,"Sickle Cell Anemia, Hyperthyroidism, Anemia"
"Succotash, with cream style corn, canned, (corn and limas)",77,43,57,18,D,Snacks,27.3,Overweight,"Zinc, Calcium, Iron",General nutrition,Adults,"Anxiety, Hyperglycemia"
"Snacks, peanut, SWEET&SALTY NUT, GENERAL MILLS NATURE VALLEY, granola bar",487,27,36,6,"A, D",Lunch,19.1,Normal weight,"Iron, Zinc",General nutrition,Adults,"Cystic Fibrosis, Crohn's Disease, Chronic Fatigue Syndrome"
"Turnover, frozen, reduced fat, and vegetable-filled, chicken- or turkey-",168,24,96,5,"C, E, A, B",Snacks,22.0,Normal weight,"Iron, Zinc, Magnesium",General nutrition,Old age,
"Kefir, LIFEWAY, strawberry, lowfat",62,7,56,20,"A, D, B",Snacks,24.1,Normal weight,Magnesium,General nutrition,Adults,Lymphoma
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",168,11,20,14,A,Snacks,22.2,Normal weight,Iron,General nutrition,Children,"Skin Cancer, Pancreatitis, Wilson's Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",158,44,84,5,"E, C",Snacks,25.8,Overweight,Magnesium,General nutrition,Old age,Anxiety
"Beef, raw, separable lean only, tenderloin, imported, New Zealand",140,32,40,7,"D, A, C, B",Snacks,18.8,Normal weight,"Iron, Magnesium",General nutrition,Old age,"Pancreatitis, Thyroid Disorders, Systemic Lupus Erythematosus"
"Pasta, enriched, dry",371,27,94,8,"D, E, C",Breakfast,27.8,Overweight,"Magnesium, Calcium",General nutrition,All ages,"Attention Deficit Hyperactivity Disorder (ADHD), Prader-Willi Syndrome, Rett Syndrome"
"Muffins, dry mix, wheat bran",396,33,32,28,B,Others,26.6,Overweight,"Magnesium, Calcium",General nutrition,Old age,"Dementia, Heart Disease, Attention Deficit Hyperactivity Disorder (ADHD)"
"Cereals ready-to-eat, KELLOGG'S CRACKLIN' OAT BRAN, KELLOGG",395,39,13,7,"E, A, B, C",Others,23.6,Normal weight,"Calcium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,COPD
"Chicken, stewed, cooked, meat only, thigh, broilers or fryers",195,10,10,25,"A, B",Snacks,24.5,Normal weight,Magnesium,General nutrition,All ages,"Cushing's Syndrome, Acromegaly"
"Beef, raw, spleen, variety meats and by-products",105,15,30,29,"D, B",Snacks,20.0,Normal weight,Iron,General nutrition,Adults,"Chronic Pain, Hyperthyroidism, Parkinson's Disease"
"MORNINGSTAR FARMS Spicy Black Bean Enchilada Entree, unprepared, frozen",123,42,59,28,"A, E, C, B",Snacks,27.0,Overweight,"Iron, Magnesium",General nutrition,Children,Gallstones
"Focaccia, plain, Italian flatbread",249,15,43,12,"C, D",Breakfast,22.3,Normal weight,Calcium,General nutrition,Adults,Ehlers-Danlos Syndrome
"Veal, raw, pancreas, variety meats and by-products",182,17,75,7,"B, A",Snacks,18.8,Normal weight,"Calcium, Zinc",General nutrition,All ages,"Sleep Apnea, Eczema, Parkinson's Disease"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",242,12,0,22,"C, B",Others,18.9,Normal weight,"Zinc, Calcium",General nutrition,Adults,"Marfan Syndrome, Menopause"
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",37,41,48,23,"C, A",Snacks,25.3,Overweight,"Magnesium, Zinc",General nutrition,Children,"Fabry Disease, Canavan Disease"
"Snacks, mixed flavors, crunchy, KASHI TLC Bar, granola bar",446,8,15,7,"D, E, A, B",Others,24.6,Normal weight,"Magnesium, Zinc",General nutrition,Children,"Polycystic Ovary Syndrome (PCOS), Attention Deficit Hyperactivity Disorder (ADHD), Prader-Willi Syndrome"
"Veal, roasted, cooked, separable lean only, sirloin",168,48,82,28,"A, B, E, D",Snacks,29.2,Overweight,"Calcium, Magnesium",General nutrition,Adults,"Galactosemia, Hyperoxaluria, Anxiety"
"Frankfurter, pork",269,30,18,27,"C, A, D",Others,25.3,Overweight,Iron,General nutrition,Adults,"Lactose Intolerance, Epilepsy, Alkaptonuria"
"Beef, pan-fried, cooked, brain, variety meats and by-products",196,18,25,7,B,Snacks,20.7,Normal weight,Iron,General nutrition,Old age,"Seizure Disorders, Prader-Willi Syndrome"
"KEEBLER, Cinnamon Toast Grahams",429,39,30,23,B,Lunch,28.1,Overweight,"Calcium, Iron, Magnesium",General nutrition,Adults,"Alzheimer's Disease, Polycystic Ovary Syndrome (PCOS), Leukemia"
"Beverages, with chicory, instant, coffee",355,41,65,27,"E, B, A",Breakfast,27.8,Overweight,"Magnesium, Zinc",General nutrition,Adults,Epilepsy
"Fat, goose",900,32,82,27,"C, E, A",Dinner,37.9,Obesity,"Calcium, Iron",General nutrition,Children,"Ehlers-Danlos Syndrome, Dementia"
"Gravy, dry, brown",367,49,91,3,"B, A, D, C",Breakfast,25.9,Overweight,"Calcium, Iron, Zinc",General nutrition,Adults,"Gaucher's Disease, None"
"Pie, prepared from recipe, blueberry",245,37,63,3,E,Breakfast,23.2,Normal weight,"Zinc, Iron, Calcium",General nutrition,All ages,Obesity
"Succotash, without salt, drained, boiled, cooked, (corn and limas)",115,31,61,4,E,Snacks,21.4,Normal weight,"Magnesium, Zinc",General nutrition,Old age,"Breast Cancer, Phenylketonuria"
"SUPPER BAKES MEAL KITS, Cheesy Chicken with pasta (chicken not included)",198,36,1,4,"A, D, B, C",Snacks,19.5,Normal weight,"Iron, Magnesium",General nutrition,All ages,Ehlers-Danlos Syndrome
"HEALTHY REQUEST, condensed, Tomato Soup",73,7,61,24,"B, E, C",Snacks,23.0,Normal weight,"Iron, Calcium",General nutrition,Old age,"Parkinson's Disease, Wilson's Disease"
"Rennin, prepared with 2% milk, dry mix, chocolate",85,29,28,22,"B, E, A",Snacks,24.5,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,All ages,Menopause
"Frankfurter, turkey",223,36,63,14,"C, E, B",Breakfast,28.5,Overweight,"Calcium, Zinc, Iron",General nutrition,Old age,"Wilson's Disease, Ulcerative Colitis"
"Beef, raw, liver, variety meats and by-products, imported, New Zealand",133,37,23,5,A,Snacks,21.5,Normal weight,Calcium,General nutrition,Old age,Hemophilia
"Margarine, sauces and candy, use for baking, soy and partially hydrogenated soy oil, industrial",714,22,1,6,"E, C, D, A",Dinner,24.0,Normal weight,Iron,General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Zellweger Spectrum Disorder, Endometriosis"
"Danish pastry, unenriched (includes apple, cinnamon, raisin, strawberry), fruit",371,22,16,10,"C, B, D",Others,22.8,Normal weight,"Iron, Calcium",General nutrition,All ages,"Gaucher's Disease, Anxiety, Gallstones"
"Margarine-like, with added vitamin D, with salt, unspecified oils, approximately 37% fat, vegetable oil spread",339,42,1,9,"A, D, E, B",Others,19.6,Normal weight,Iron,General nutrition,Adults,"Gout, Gaucher's Disease"
"CAMPBELL'S, condensed, Cream of Chicken Soup",103,12,36,14,"B, A, E",Snacks,21.2,Normal weight,"Iron, Calcium",General nutrition,All ages,"Menopause, Kidney Disease, Glaucoma"
"Pork, pan-broiled, cooked, 96% lean / 4% fat, ground",185,5,34,18,"C, B",Snacks,19.4,Normal weight,Calcium,General nutrition,Children,Ornithine Transcarbamylase Deficiency
"Salad dressing, reduced calorie, honey mustard dressing",207,10,61,11,A,Others,19.9,Normal weight,Calcium,General nutrition,Old age,Diverticulitis
"Fast foods, coleslaw",153,47,99,12,"A, E, B",Snacks,25.2,Overweight,Magnesium,General nutrition,All ages,"Gaucher's Disease, Glycogen Storage Disease"
"Soup, prepared with equal volume water, canned, tomato rice",47,21,1,18,"A, D",Snacks,19.2,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Children,"Tuberculosis, Leukemia"
"Oil, woks and light frying, principal uses salads, canola with antifoaming agent, industrial",884,9,17,11,"D, C",Others,22.2,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Children,"Ovarian Cancer, HIV/AIDS"
"Beef, pan-broiled, cooked, patty, 95% lean meat / 5% fat, ground",164,39,0,24,"B, D, A",Snacks,19.8,Normal weight,"Zinc, Iron",General nutrition,Children,"Diabetes, Osteoporosis"
"Tofu, prepared with calcium sulfate, salted and fermented (fuyu)",116,21,45,5,C,Snacks,24.8,Normal weight,"Iron, Zinc",General nutrition,Adults,"Gout, Anxiety, Lung Cancer"
"Babyfood, junior, macaroni and tomato and beef, dinner",59,5,81,2,A,Snacks,24.3,Normal weight,"Magnesium, Zinc",General nutrition,Adults,"Hypertension, Thyroid Disorders, Gallstones"
"Soup, prepared with water, mix, dry, cream of chicken",41,21,8,0,"B, C, E, A",Snacks,17.0,Underweight,Calcium,General nutrition,Adults,Leigh Syndrome
"Fish, moist heat, cooked, wild, coho, salmon",184,4,72,5,"E, C, D, B",Snacks,19.9,Normal weight,"Calcium, Zinc","Brain development, Joint health, Mood improvement",All ages,Glycogen Storage Disease
"KEEBLER, Chocolate Chip Cookies, CHIPS DELUXE, 100 Calorie RIGHT BITES",452,13,62,13,"E, A",Others,20.4,Normal weight,Zinc,General nutrition,Adults,"Marfan Syndrome, Celiac Disease, Endometriosis"
"Sweet potato, with salt, flesh, baked in skin, cooked",92,45,15,20,B,Snacks,20.7,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,Children,Mucopolysaccharidosis
"Soup, prepared with equal volume low fat (2%) milk, canned, cream of shrimp",61,33,94,6,"A, D",Snacks,20.2,Normal weight,Magnesium,General nutrition,Adults,"Ulcerative Colitis, Encephalitis, Sickle Cell Anemia"
"Chicken, raw, meat only, light meat, roasting",109,27,3,29,"E, B, A, C",Snacks,20.4,Normal weight,"Magnesium, Iron",General nutrition,Children,"Sjogren's Syndrome, Rett Syndrome, Ornithine Transcarbamylase Deficiency"
"KELLOGG'S, Cheddar, Cracker Chips, SPECIAL K",382,11,14,22,"E, A",Others,23.5,Normal weight,Zinc,General nutrition,Old age,"COPD, Hypoglycemia"
"Potatoes, whole milk added, home-prepared, mashed",83,30,50,6,"A, E, C, B",Snacks,20.6,Normal weight,"Iron, Magnesium",General nutrition,Children,"Heart Disease, Diabetes"
"Cookies, vanilla sandwich with creme filling",483,22,9,27,"B, D",Lunch,26.8,Overweight,Calcium,General nutrition,Children,"Hypoglycemia, HIV/AIDS"
"Olive loaf, pork",235,29,51,4,"C, A, B, D",Breakfast,21.8,Normal weight,"Magnesium, Zinc",General nutrition,Children,Ovarian Cancer
"Potatoes, as purchased, frozen, salt not added in processing, all types, french fried",150,18,29,10,"B, D, C",Snacks,22.7,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,Chronic Pain
"Restaurant, breaded and fried, shrimp, family style",308,36,95,13,"E, D, C, B",Breakfast,27.3,Overweight,Zinc,General nutrition,Children,"Eating Disorders, Irritable Bowel Syndrome, Sjogren's Syndrome"
"Nuts, without salt added, oil roasted, cashew nuts",580,37,3,29,"B, A",Lunch,26.3,Overweight,Magnesium,"Heart health, Weight management, Brain function",Adults,"Depression, GERD"
"Salad dressing, assorted flavors, spray-style dressing",165,48,18,21,"B, C",Snacks,29.0,Overweight,"Calcium, Zinc",General nutrition,Old age,"Attention Deficit Hyperactivity Disorder (ADHD), Pancreatitis"
"ON THE BORDER, Mexican rice",195,37,47,6,C,Snacks,24.1,Normal weight,"Zinc, Iron",General nutrition,Children,Osteoporosis
"Soup, prepared with equal volume milk, canned, oyster stew",55,1,97,5,"E, B, D, A",Snacks,18.9,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Old age,"Hemochromatosis, Menopause, Kidney Disease"
"Pork, pan-fried, cooked, separable lean and fat, bone-in, blade (chops), loin, fresh",256,15,68,21,D,Others,29.7,Overweight,Magnesium,General nutrition,Adults,"Thyroid Disorders, Lactose Intolerance, Inflammatory Bowel Disease"
"Turkey, roasted, with added solution, meat only, whole",140,28,53,18,"B, A, E",Snacks,23.9,Normal weight,"Magnesium, Iron, Calcium",General nutrition,All ages,"Malnutrition, Sleep Apnea"
"Nuts, frozen (liquid expressed from grated meat and water), coconut milk",202,40,83,14,C,Breakfast,26.7,Overweight,Calcium,"Heart health, Weight management, Brain function",Children,"Osteoporosis, Neurofibromatosis, Cancer"
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",169,4,29,19,"B, A, E",Snacks,23.3,Normal weight,"Zinc, Magnesium",General nutrition,Old age,Prostate Cancer
"Turkey, raw, with added solution, meat and skin, breast, retail parts",144,11,18,3,"C, A, B",Snacks,18.0,Underweight,Zinc,General nutrition,Old age,"High Cholesterol, Alzheimer's Disease, Gout"
"Candies, M&M's Almond Chocolate Candies, MARS SNACKFOOD US",522,33,41,4,"B, A, E, D",Lunch,24.0,Normal weight,"Calcium, Iron, Magnesium",General nutrition,All ages,"Thalassemia, Ulcerative Colitis"
"Fish, raw, farmed, Atlantic, salmon",208,13,11,22,"B, E",Others,19.8,Normal weight,Magnesium,"Brain development, Joint health, Mood improvement",Old age,"Food Allergies, None, High Cholesterol"
Beans Stew with Fried Plantain,400,12,60,15,B,Others,24.2,Normal weight,Iron,High in fiber,rich in vitamins,General
"Milk, dried, buttermilk",387,41,40,15,E,Others,28.4,Overweight,"Iron, Calcium, Magnesium",General nutrition,Adults,"Neurofibromatosis, None, Angelman Syndrome"
"Beef, raw, separable lean only, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",131,16,3,17,A,Snacks,18.7,Normal weight,"Iron, Zinc, Calcium",General nutrition,Children,COPD
"Snacks, TERRA CHIPS, HAIN CELESTIAL GROUP, vegetable chips",517,13,25,29,A,Others,25.8,Overweight,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Maple Syrup Urine Disease, Leigh Syndrome"
Dawadawa Jollof,350,8,55,10,D,Others,19.3,Normal weight,Calcium,High in carbs,rich in protein,General
"Turkey, raw, meat only, wing, retail parts",112,40,29,27,"E, B",Snacks,28.1,Overweight,"Zinc, Calcium, Iron",General nutrition,Old age,Prader-Willi Syndrome
"Bread, cracked-wheat",260,23,53,21,"D, C",Breakfast,28.2,Overweight,"Calcium, Iron, Zinc",General nutrition,Old age,Parkinson's Disease
"Ostrich, cooked, oyster",159,27,37,21,"B, D",Snacks,20.6,Normal weight,Magnesium,General nutrition,Old age,"Galactosemia, Phenylketonuria"
"Cereals ready-to-eat, Raisin Bran Cereal, MALT-O-MEAL",342,38,65,16,C,Breakfast,29.1,Overweight,Iron,"Sustained energy, Digestive health, Blood sugar control",Adults,"Heart Disease, Ehlers-Danlos Syndrome"
"Turkey, raw, meat and skin, drumstick, retail parts",141,8,87,12,E,Snacks,20.2,Normal weight,"Magnesium, Iron, Zinc",General nutrition,Children,"Cystitis, Hypothyroidism, Menopause"
"TACO BELL, Bean Burrito",209,4,68,11,"B, E, C",Others,22.7,Normal weight,Zinc,General nutrition,Old age,Lung Cancer
"Ice creams, Vanilla Chocolate Strawberry, No Sugar Added, BREYERS",143,7,70,11,"B, C",Snacks,23.7,Normal weight,"Zinc, Calcium",General nutrition,All ages,"Attention Deficit Hyperactivity Disorder (ADHD), Liver Disease, Eating Disorders"
"Shortening, soybean (hydrogenated) and palm (hydrogenated), multipurpose",884,41,35,21,"E, D, A, C",Dinner,28.5,Overweight,"Iron, Zinc, Magnesium",General nutrition,Adults,Binge Eating Disorder
"Cake, dry mix, marble, pudding-type",416,2,46,2,C,Others,19.3,Normal weight,Iron,General nutrition,Old age,"Sleep Apnea, Alzheimer's Disease, Leukemia"
"POPEYES, skin and breading removed, meat only, Breast, Mild, Fried Chicken",157,30,98,9,"D, B, C, A",Snacks,29.9,Overweight,"Iron, Magnesium",General nutrition,Old age,"Tay-Sachs Disease, Gout, Zellweger Spectrum Disorder"
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",264,28,64,13,"A, B, C",Breakfast,21.2,Normal weight,"Calcium, Zinc",General nutrition,Adults,"Obesity, Tuberculosis"
"Pork and turkey sausage, pre-cooked",342,9,99,19,A,Others,29.6,Overweight,"Iron, Calcium, Zinc",General nutrition,Adults,"Hemochromatosis, Maple Syrup Urine Disease, Parkinson's Disease"
"Cheese product, vitamin D fortified, American, pasteurized process",312,13,66,5,"C, B",Breakfast,22.6,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,"None, Alkaptonuria, Prader-Willi Syndrome"
"Mollusks, raw, mixed species, scallop",69,31,20,23,"E, A, B, C",Snacks,21.3,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Old age,"Meningitis, GERD, Chronic Fatigue Syndrome"
"KFC, meat and skin with breading, Breast, EXTRA CRISPY, Fried Chicken",268,3,37,17,"C, E, A",Others,19.2,Normal weight,"Iron, Zinc, Calcium",General nutrition,Old age,"Thyroid Disorders, Cystinosis"
"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",520,49,43,12,"B, C, E, D",Lunch,26.5,Overweight,"Magnesium, Calcium, Zinc",General nutrition,Adults,
"Beef, braised, cooked, separable lean and fat, flat, imported, New Zealand",252,41,70,10,C,Breakfast,28.1,Overweight,"Zinc, Calcium, Magnesium",General nutrition,Old age,Hypoglycemia
"Game meat, broiled, cooked, separable lean only, tenderloin, elk",162,34,72,5,"C, E",Snacks,21.7,Normal weight,"Magnesium, Iron, Zinc",General nutrition,Old age,"Eczema, Marfan Syndrome"
"KFC, Coleslaw",144,48,91,6,"A, B",Snacks,25.7,Overweight,Magnesium,General nutrition,All ages,Psoriasis
"Formulated bar, SNICKERS MARATHON Chewy Chocolate Peanut Bar, MARS SNACKFOOD US",396,29,19,0,"D, C, E",Others,23.5,Normal weight,Iron,General nutrition,Adults,"Lung Cancer, Tay-Sachs Disease, Lymphoma"
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",191,15,52,3,"C, B, D",Snacks,23.1,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Adults,"Rett Syndrome, HIV/AIDS, Alkaptonuria"
