food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",100.0,236.0,11.0,23.0,23.0,"C, A",Zinc,General nutrition,Children,"Autism Spectrum Disorder, Macular Degeneration"
"Babyfood, junior, meat sticks, meat",100.0,184.0,15.0,43.0,3.0,"D, B, E, C","Iron, Magnesium, Calcium",General nutrition,Adults,"Diverticulitis, Ornithine Transcarbamylase Deficiency, Ehlers-Danlos Syndrome"
"Pork, roasted, separable lean only, arm picnic, shoulder, cured",100.0,170.0,30.0,32.0,13.0,C,"Zinc, Calcium, Magnesium",General nutrition,Children,Leukemia
"Winged beans, without salt, drained, boiled, cooked, immature seeds",100.0,38.0,4.0,63.0,20.0,B,Iron,General nutrition,Children,Lymphoma
"Chorizo, pork and beef",100.0,455.0,47.0,66.0,24.0,A,"Calcium, Magnesium, Zinc",General nutrition,Old age,"Sickle Cell Anemia, Hyperthyroidism, Anemia"
"Succotash, with cream style corn, canned, (corn and limas)",100.0,77.0,43.0,57.0,18.0,D,"Zinc, Calcium, Iron",General nutrition,Adults,"Anxiety, Hyperglycemia"
"Snacks, peanut, SWEET&SALTY NUT, GENERAL MILLS NATURE VALLEY, granola bar",100.0,487.0,27.0,36.0,6.0,"A, D","Iron, Zinc",General nutrition,Adults,"Cystic Fibrosis, Crohn's Disease, Chronic Fatigue Syndrome"
"Turnover, frozen, reduced fat, and vegetable-filled, chicken- or turkey-",100.0,168.0,24.0,96.0,5.0,"C, E, A, B","Iron, Zinc, Magnesium",General nutrition,Old age,
"Kefir, LIFEWAY, strawberry, lowfat",100.0,62.0,7.0,56.0,20.0,"A, D, B",Magnesium,General nutrition,Adults,Lymphoma
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",100.0,168.0,11.0,20.0,14.0,A,Iron,General nutrition,Children,"Skin Cancer, Pancreatitis, Wilson's Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",100.0,158.0,44.0,84.0,5.0,"E, C",Magnesium,General nutrition,Old age,Anxiety
"Beef, raw, separable lean only, tenderloin, imported, New Zealand",100.0,140.0,32.0,40.0,7.0,"D, A, C, B","Iron, Magnesium",General nutrition,Old age,"Pancreatitis, Thyroid Disorders, Systemic Lupus Erythematosus"
"Pasta, enriched, dry",100.0,371.0,27.0,94.0,8.0,"D, E, C","Magnesium, Calcium",General nutrition,All ages,"Attention Deficit Hyperactivity Disorder (ADHD), Prader-Willi Syndrome, Rett Syndrome"
"Muffins, dry mix, wheat bran",100.0,396.0,33.0,32.0,28.0,B,"Magnesium, Calcium",General nutrition,Old age,"Dementia, Heart Disease, Attention Deficit Hyperactivity Disorder (ADHD)"
"Cereals ready-to-eat, KELLOGG'S CRACKLIN' OAT BRAN, KELLOGG",100.0,395.0,39.0,13.0,7.0,"E, A, B, C","Calcium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,COPD
"Chicken, stewed, cooked, meat only, thigh, broilers or fryers",100.0,195.0,10.0,10.0,25.0,"A, B",Magnesium,General nutrition,All ages,"Cushing's Syndrome, Acromegaly"
"Beef, raw, spleen, variety meats and by-products",100.0,105.0,15.0,30.0,29.0,"D, B",Iron,General nutrition,Adults,"Chronic Pain, Hyperthyroidism, Parkinson's Disease"
"MORNINGSTAR FARMS Spicy Black Bean Enchilada Entree, unprepared, frozen",100.0,123.0,42.0,59.0,28.0,"A, E, C, B","Iron, Magnesium",General nutrition,Children,Gallstones
"Focaccia, plain, Italian flatbread",100.0,249.0,15.0,43.0,12.0,"C, D",Calcium,General nutrition,Adults,Ehlers-Danlos Syndrome
"Veal, raw, pancreas, variety meats and by-products",100.0,182.0,17.0,75.0,7.0,"B, A","Calcium, Zinc",General nutrition,All ages,"Sleep Apnea, Eczema, Parkinson's Disease"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",100.0,242.0,12.0,0.0,22.0,"C, B","Zinc, Calcium",General nutrition,Adults,"Marfan Syndrome, Menopause"
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",100.0,37.0,41.0,48.0,23.0,"C, A","Magnesium, Zinc",General nutrition,Children,"Fabry Disease, Canavan Disease"
"Snacks, mixed flavors, crunchy, KASHI TLC Bar, granola bar",100.0,446.0,8.0,15.0,7.0,"D, E, A, B","Magnesium, Zinc",General nutrition,Children,"Polycystic Ovary Syndrome (PCOS), Attention Deficit Hyperactivity Disorder (ADHD), Prader-Willi Syndrome"
"Veal, roasted, cooked, separable lean only, sirloin",100.0,168.0,48.0,82.0,28.0,"A, B, E, D","Calcium, Magnesium",General nutrition,Adults,"Galactosemia, Hyperoxaluria, Anxiety"
"Frankfurter, pork",100.0,269.0,30.0,18.0,27.0,"C, A, D",Iron,General nutrition,Adults,"Lactose Intolerance, Epilepsy, Alkaptonuria"
"Beef, pan-fried, cooked, brain, variety meats and by-products",100.0,196.0,18.0,25.0,7.0,B,Iron,General nutrition,Old age,"Seizure Disorders, Prader-Willi Syndrome"
"KEEBLER, Cinnamon Toast Grahams",100.0,429.0,39.0,30.0,23.0,B,"Calcium, Iron, Magnesium",General nutrition,Adults,"Alzheimer's Disease, Polycystic Ovary Syndrome (PCOS), Leukemia"
"Beverages, with chicory, instant, coffee",100.0,355.0,41.0,65.0,27.0,"E, B, A","Magnesium, Zinc",General nutrition,Adults,Epilepsy
"Fat, goose",100.0,900.0,32.0,82.0,27.0,"C, E, A","Calcium, Iron",General nutrition,Children,"Ehlers-Danlos Syndrome, Dementia"
"Gravy, dry, brown",100.0,367.0,49.0,91.0,3.0,"B, A, D, C","Calcium, Iron, Zinc",General nutrition,Adults,"Gaucher's Disease, None"
"Pie, prepared from recipe, blueberry",100.0,245.0,37.0,63.0,3.0,E,"Zinc, Iron, Calcium",General nutrition,All ages,Obesity
"Succotash, without salt, drained, boiled, cooked, (corn and limas)",100.0,115.0,31.0,61.0,4.0,E,"Magnesium, Zinc",General nutrition,Old age,"Breast Cancer, Phenylketonuria"
"SUPPER BAKES MEAL KITS, Cheesy Chicken with pasta (chicken not included)",100.0,198.0,36.0,1.0,4.0,"A, D, B, C","Iron, Magnesium",General nutrition,All ages,Ehlers-Danlos Syndrome
"HEALTHY REQUEST, condensed, Tomato Soup",100.0,73.0,7.0,61.0,24.0,"B, E, C","Iron, Calcium",General nutrition,Old age,"Parkinson's Disease, Wilson's Disease"
"Rennin, prepared with 2% milk, dry mix, chocolate",100.0,85.0,29.0,28.0,22.0,"B, E, A","Zinc, Calcium, Magnesium",General nutrition,All ages,Menopause
"Frankfurter, turkey",100.0,223.0,36.0,63.0,14.0,"C, E, B","Calcium, Zinc, Iron",General nutrition,Old age,"Wilson's Disease, Ulcerative Colitis"
"Beef, raw, liver, variety meats and by-products, imported, New Zealand",100.0,133.0,37.0,23.0,5.0,A,Calcium,General nutrition,Old age,Hemophilia
"Margarine, sauces and candy, use for baking, soy and partially hydrogenated soy oil, industrial",100.0,714.0,22.0,1.0,6.0,"E, C, D, A",Iron,General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Zellweger Spectrum Disorder, Endometriosis"
"Danish pastry, unenriched (includes apple, cinnamon, raisin, strawberry), fruit",100.0,371.0,22.0,16.0,10.0,"C, B, D","Iron, Calcium",General nutrition,All ages,"Gaucher's Disease, Anxiety, Gallstones"
"Margarine-like, with added vitamin D, with salt, unspecified oils, approximately 37% fat, vegetable oil spread",100.0,339.0,42.0,1.0,9.0,"A, D, E, B",Iron,General nutrition,Adults,"Gout, Gaucher's Disease"
"CAMPBELL'S, condensed, Cream of Chicken Soup",100.0,103.0,12.0,36.0,14.0,"B, A, E","Iron, Calcium",General nutrition,All ages,"Menopause, Kidney Disease, Glaucoma"
"Pork, pan-broiled, cooked, 96% lean / 4% fat, ground",100.0,185.0,5.0,34.0,18.0,"C, B",Calcium,General nutrition,Children,Ornithine Transcarbamylase Deficiency
"Salad dressing, reduced calorie, honey mustard dressing",100.0,207.0,10.0,61.0,11.0,A,Calcium,General nutrition,Old age,Diverticulitis
"Fast foods, coleslaw",100.0,153.0,47.0,99.0,12.0,"A, E, B",Magnesium,General nutrition,All ages,"Gaucher's Disease, Glycogen Storage Disease"
"Soup, prepared with equal volume water, canned, tomato rice",100.0,47.0,21.0,1.0,18.0,"A, D","Calcium, Iron, Magnesium",General nutrition,Children,"Tuberculosis, Leukemia"
"Oil, woks and light frying, principal uses salads, canola with antifoaming agent, industrial",100.0,884.0,9.0,17.0,11.0,"D, C","Magnesium, Iron, Calcium",General nutrition,Children,"Ovarian Cancer, HIV/AIDS"
"Beef, pan-broiled, cooked, patty, 95% lean meat / 5% fat, ground",100.0,164.0,39.0,0.0,24.0,"B, D, A","Zinc, Iron",General nutrition,Children,"Diabetes, Osteoporosis"
"Tofu, prepared with calcium sulfate, salted and fermented (fuyu)",100.0,116.0,21.0,45.0,5.0,C,"Iron, Zinc",General nutrition,Adults,"Gout, Anxiety, Lung Cancer"
"Babyfood, junior, macaroni and tomato and beef, dinner",100.0,59.0,5.0,81.0,2.0,A,"Magnesium, Zinc",General nutrition,Adults,"Hypertension, Thyroid Disorders, Gallstones"
"Soup, prepared with water, mix, dry, cream of chicken",100.0,41.0,21.0,8.0,0.0,"B, C, E, A",Calcium,General nutrition,Adults,Leigh Syndrome
"Fish, moist heat, cooked, wild, coho, salmon",100.0,184.0,4.0,72.0,5.0,"E, C, D, B","Calcium, Zinc","Brain development, Joint health, Mood improvement",All ages,Glycogen Storage Disease
"KEEBLER, Chocolate Chip Cookies, CHIPS DELUXE, 100 Calorie RIGHT BITES",100.0,452.0,13.0,62.0,13.0,"E, A",Zinc,General nutrition,Adults,"Marfan Syndrome, Celiac Disease, Endometriosis"
"Sweet potato, with salt, flesh, baked in skin, cooked",100.0,92.0,45.0,15.0,20.0,B,"Calcium, Zinc, Magnesium",General nutrition,Children,Mucopolysaccharidosis
"Soup, prepared with equal volume low fat (2%) milk, canned, cream of shrimp",100.0,61.0,33.0,94.0,6.0,"A, D",Magnesium,General nutrition,Adults,"Ulcerative Colitis, Encephalitis, Sickle Cell Anemia"
"Chicken, raw, meat only, light meat, roasting",100.0,109.0,27.0,3.0,29.0,"E, B, A, C","Magnesium, Iron",General nutrition,Children,"Sjogren's Syndrome, Rett Syndrome, Ornithine Transcarbamylase Deficiency"
"KELLOGG'S, Cheddar, Cracker Chips, SPECIAL K",100.0,382.0,11.0,14.0,22.0,"E, A",Zinc,General nutrition,Old age,"COPD, Hypoglycemia"
"Potatoes, whole milk added, home-prepared, mashed",100.0,83.0,30.0,50.0,6.0,"A, E, C, B","Iron, Magnesium",General nutrition,Children,"Heart Disease, Diabetes"
"Cookies, vanilla sandwich with creme filling",100.0,483.0,22.0,9.0,27.0,"B, D",Calcium,General nutrition,Children,"Hypoglycemia, HIV/AIDS"
"Olive loaf, pork",100.0,235.0,29.0,51.0,4.0,"C, A, B, D","Magnesium, Zinc",General nutrition,Children,Ovarian Cancer
"Potatoes, as purchased, frozen, salt not added in processing, all types, french fried",100.0,150.0,18.0,29.0,10.0,"B, D, C","Magnesium, Iron, Calcium",General nutrition,Adults,Chronic Pain
"Restaurant, breaded and fried, shrimp, family style",100.0,308.0,36.0,95.0,13.0,"E, D, C, B",Zinc,General nutrition,Children,"Eating Disorders, Irritable Bowel Syndrome, Sjogren's Syndrome"
"Nuts, without salt added, oil roasted, cashew nuts",100.0,580.0,37.0,3.0,29.0,"B, A",Magnesium,"Heart health, Weight management, Brain function",Adults,"Depression, GERD"
"Salad dressing, assorted flavors, spray-style dressing",100.0,165.0,48.0,18.0,21.0,"B, C","Calcium, Zinc",General nutrition,Old age,"Attention Deficit Hyperactivity Disorder (ADHD), Pancreatitis"
"ON THE BORDER, Mexican rice",100.0,195.0,37.0,47.0,6.0,C,"Zinc, Iron",General nutrition,Children,Osteoporosis
"Soup, prepared with equal volume milk, canned, oyster stew",100.0,55.0,1.0,97.0,5.0,"E, B, D, A","Magnesium, Calcium, Zinc",General nutrition,Old age,"Hemochromatosis, Menopause, Kidney Disease"
"Pork, pan-fried, cooked, separable lean and fat, bone-in, blade (chops), loin, fresh",100.0,256.0,15.0,68.0,21.0,D,Magnesium,General nutrition,Adults,"Thyroid Disorders, Lactose Intolerance, Inflammatory Bowel Disease"
"Turkey, roasted, with added solution, meat only, whole",100.0,140.0,28.0,53.0,18.0,"B, A, E","Magnesium, Iron, Calcium",General nutrition,All ages,"Malnutrition, Sleep Apnea"
"Nuts, frozen (liquid expressed from grated meat and water), coconut milk",100.0,202.0,40.0,83.0,14.0,C,Calcium,"Heart health, Weight management, Brain function",Children,"Osteoporosis, Neurofibromatosis, Cancer"
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",100.0,169.0,4.0,29.0,19.0,"B, A, E","Zinc, Magnesium",General nutrition,Old age,Prostate Cancer
"Turkey, raw, with added solution, meat and skin, breast, retail parts",100.0,144.0,11.0,18.0,3.0,"C, A, B",Zinc,General nutrition,Old age,"High Cholesterol, Alzheimer's Disease, Gout"
"Candies, M&M's Almond Chocolate Candies, MARS SNACKFOOD US",100.0,522.0,33.0,41.0,4.0,"B, A, E, D","Calcium, Iron, Magnesium",General nutrition,All ages,"Thalassemia, Ulcerative Colitis"
"Fish, raw, farmed, Atlantic, salmon",100.0,208.0,13.0,11.0,22.0,"B, E",Magnesium,"Brain development, Joint health, Mood improvement",Old age,"Food Allergies, None, High Cholesterol"
Beans Stew with Fried Plantain,100.0,400.0,12.0,60.0,15.0,B,Iron,High in fiber,rich in vitamins,General
"Milk, dried, buttermilk",100.0,387.0,41.0,40.0,15.0,E,"Iron, Calcium, Magnesium",General nutrition,Adults,"Neurofibromatosis, None, Angelman Syndrome"
"Beef, raw, separable lean only, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",100.0,131.0,16.0,3.0,17.0,A,"Iron, Zinc, Calcium",General nutrition,Children,COPD
"Snacks, TERRA CHIPS, HAIN CELESTIAL GROUP, vegetable chips",100.0,517.0,13.0,25.0,29.0,A,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Maple Syrup Urine Disease, Leigh Syndrome"
Dawadawa Jollof,100.0,350.0,8.0,55.0,10.0,D,Calcium,High in carbs,rich in protein,General
"Turkey, raw, meat only, wing, retail parts",100.0,112.0,40.0,29.0,27.0,"E, B","Zinc, Calcium, Iron",General nutrition,Old age,Prader-Willi Syndrome
"Bread, cracked-wheat",100.0,260.0,23.0,53.0,21.0,"D, C","Calcium, Iron, Zinc",General nutrition,Old age,Parkinson's Disease
"Ostrich, cooked, oyster",100.0,159.0,27.0,37.0,21.0,"B, D",Magnesium,General nutrition,Old age,"Galactosemia, Phenylketonuria"
"Cereals ready-to-eat, Raisin Bran Cereal, MALT-O-MEAL",100.0,342.0,38.0,65.0,16.0,C,Iron,"Sustained energy, Digestive health, Blood sugar control",Adults,"Heart Disease, Ehlers-Danlos Syndrome"
"Turkey, raw, meat and skin, drumstick, retail parts",100.0,141.0,8.0,87.0,12.0,E,"Magnesium, Iron, Zinc",General nutrition,Children,"Cystitis, Hypothyroidism, Menopause"
"TACO BELL, Bean Burrito",100.0,209.0,4.0,68.0,11.0,"B, E, C",Zinc,General nutrition,Old age,Lung Cancer
"Ice creams, Vanilla Chocolate Strawberry, No Sugar Added, BREYERS",100.0,143.0,7.0,70.0,11.0,"B, C","Zinc, Calcium",General nutrition,All ages,"Attention Deficit Hyperactivity Disorder (ADHD), Liver Disease, Eating Disorders"
"Shortening, soybean (hydrogenated) and palm (hydrogenated), multipurpose",100.0,884.0,41.0,35.0,21.0,"E, D, A, C","Iron, Zinc, Magnesium",General nutrition,Adults,Binge Eating Disorder
"Cake, dry mix, marble, pudding-type",100.0,416.0,2.0,46.0,2.0,C,Iron,General nutrition,Old age,"Sleep Apnea, Alzheimer's Disease, Leukemia"
"POPEYES, skin and breading removed, meat only, Breast, Mild, Fried Chicken",100.0,157.0,30.0,98.0,9.0,"D, B, C, A","Iron, Magnesium",General nutrition,Old age,"Tay-Sachs Disease, Gout, Zellweger Spectrum Disorder"
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",100.0,264.0,28.0,64.0,13.0,"A, B, C","Calcium, Zinc",General nutrition,Adults,"Obesity, Tuberculosis"
"Pork and turkey sausage, pre-cooked",100.0,342.0,9.0,99.0,19.0,A,"Iron, Calcium, Zinc",General nutrition,Adults,"Hemochromatosis, Maple Syrup Urine Disease, Parkinson's Disease"
"Cheese product, vitamin D fortified, American, pasteurized process",100.0,312.0,13.0,66.0,5.0,"C, B","Magnesium, Iron, Calcium",General nutrition,Adults,"None, Alkaptonuria, Prader-Willi Syndrome"
"Mollusks, raw, mixed species, scallop",100.0,69.0,31.0,20.0,23.0,"E, A, B, C","Magnesium, Iron, Calcium",General nutrition,Old age,"Meningitis, GERD, Chronic Fatigue Syndrome"
"KFC, meat and skin with breading, Breast, EXTRA CRISPY, Fried Chicken",100.0,268.0,3.0,37.0,17.0,"C, E, A","Iron, Zinc, Calcium",General nutrition,Old age,"Thyroid Disorders, Cystinosis"
"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",100.0,520.0,49.0,43.0,12.0,"B, C, E, D","Magnesium, Calcium, Zinc",General nutrition,Adults,
"Beef, braised, cooked, separable lean and fat, flat, imported, New Zealand",100.0,252.0,41.0,70.0,10.0,C,"Zinc, Calcium, Magnesium",General nutrition,Old age,Hypoglycemia
"Game meat, broiled, cooked, separable lean only, tenderloin, elk",100.0,162.0,34.0,72.0,5.0,"C, E","Magnesium, Iron, Zinc",General nutrition,Old age,"Eczema, Marfan Syndrome"
"KFC, Coleslaw",100.0,144.0,48.0,91.0,6.0,"A, B",Magnesium,General nutrition,All ages,Psoriasis
"Formulated bar, SNICKERS MARATHON Chewy Chocolate Peanut Bar, MARS SNACKFOOD US",100.0,396.0,29.0,19.0,0.0,"D, C, E",Iron,General nutrition,Adults,"Lung Cancer, Tay-Sachs Disease, Lymphoma"
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",100.0,191.0,15.0,52.0,3.0,"C, B, D","Magnesium, Calcium, Zinc",General nutrition,Adults,"Rett Syndrome, HIV/AIDS, Alkaptonuria"
"Tomatillos, raw",100.0,32.0,29.0,3.0,6.0,"A, E","Zinc, Iron",General nutrition,Adults,"Marfan Syndrome, Thyroid Disorders, Binge Eating Disorder"
Omo Tuo with Palm Nut Soup,100.0,430.0,22.0,65.0,20.0,E,Iron,High protein,rich in vitamins,Adults
"Seeds, partially defatted, sesame meal",100.0,567.0,44.0,12.0,19.0,A,"Calcium, Zinc","Heart health, Weight management, Brain function",All ages,HIV/AIDS
"Chicken, raw, with added solution, meat only, thigh, dark meat",100.0,110.0,47.0,61.0,27.0,"B, E","Zinc, Calcium",General nutrition,Adults,Thalassemia
"Oil, tomatoseed",100.0,884.0,30.0,73.0,12.0,D,Calcium,General nutrition,All ages,Addison's Disease
"Macaroni and cheese, frozen entree",100.0,149.0,30.0,60.0,23.0,C,"Zinc, Magnesium",General nutrition,Children,"Ehlers-Danlos Syndrome, Fibromyalgia, Ovarian Cancer"
"Cereals ready-to-eat, KASHI Honey Sunshine",100.0,332.0,17.0,81.0,18.0,"A, B, E","Zinc, Calcium, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,Cataracts
"GARDENBURGER Veggie Medley Burger, unprepared, frozen",100.0,121.0,7.0,62.0,29.0,"C, D",Magnesium,General nutrition,Old age,"Congenital Heart Disease, Gaucher's Disease, Glaucoma"
"Lima beans, solids and liquids, regular pack, canned, immature seeds",100.0,71.0,18.0,15.0,26.0,"E, A",Magnesium,General nutrition,Old age,"Schizophrenia, Prostate Cancer, Rett Syndrome"
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",100.0,216.0,0.0,39.0,29.0,"E, C, D, A",Iron,General nutrition,Children,"Lung Cancer, Heart Disease"
"Vitasoy USA Organic Nasoya, Soft Tofu",100.0,70.0,14.0,58.0,29.0,"A, D, E",Zinc,General nutrition,Adults,"Ovarian Cancer, Thyroid Disorders, Fabry Disease"
"Beans, drained solids, regular pack, canned, green, snap",100.0,22.0,41.0,95.0,29.0,B,"Magnesium, Zinc, Iron",General nutrition,Adults,"Parkinson's Disease, Breast Cancer, Food Allergies"
"Mayonnaise, low calorie or diet, low sodium",100.0,231.0,40.0,63.0,7.0,"C, A, D, B","Magnesium, Calcium",General nutrition,Old age,Kidney Disease
"WENDY'S, with cheese, Double Stack",100.0,285.0,23.0,2.0,2.0,"C, A, E",Magnesium,General nutrition,Children,"Menopause, None"
"Infant formula, 20 calories ready-to-feed, Premature, ENFAMIL, MEAD JOHNSON",100.0,66.0,23.0,26.0,2.0,"A, E, D, C","Calcium, Iron",General nutrition,Children,"Diverticulitis, Zellweger Spectrum Disorder, Cystinosis"
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, top blade, chuck",100.0,184.0,45.0,72.0,10.0,D,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Sleep Apnea, Hyperglycemia, Diabetes"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, steak, flank",100.0,149.0,6.0,14.0,28.0,"B, C",Zinc,General nutrition,Children,"Chronic Fatigue Syndrome, Lymphoma, Asthma"
